Longitude,Latitude,Density
-86.568502,34.783368,0.0015002688767492506
-86.80917,33.50223,0.001304641429401948
-86.17401,32.362609,0.0010610806953025942
-86.63842,34.722818,0.0014902835832018048
-86.295677,32.364317,0.0010613907067186983
-87.545766,33.2144,0.0012227663823828527
-86.96514,34.805625,0.00147609952711999
-86.177351,32.369939,0.001062841314945949
-85.492409,32.600201,0.001118252473894027
-86.853636,33.515453,0.0013055250988508447
-87.023531,32.42443,0.0010705056886535704
-86.21641,32.384181,0.0010662352543722026
-86.285313,32.350939,0.0010582218489863507
-85.766644,33.822128,0.0014004652164086274
-87.316127,32.630526,0.0011110640664509668
-88.186077,32.59244,0.0010836270725019643
-86.908605,33.481306,0.0012970072431185123
-88.128934,30.793247,0.000741285463510474
-86.865099,33.10625,0.0012228779067449196
-87.680999,34.80658,0.0014246072338839014
-86.661628,34.756628,0.0014919453344398683
-86.790932,33.464578,0.0012980309259484836
-88.18189,30.695081,0.0007244776173234429
-88.138199,30.694751,0.0007242345363719917
-87.585242,33.199228,0.0012184561660613918
-86.113675,33.434258,0.0013119371362350387
-85.950191,31.800128,0.000926834088130082
-85.710315,32.431021,0.0010767168240990016
-149.826135,61.189554,4.251630841348885e-05
-147.824751,64.857053,1.849594643092838e-05
-134.636346,58.38427,4.0957309047757764e-05
-149.804242,61.191235,4.253290535346167e-05
-112.092247,33.577738,0.0004597580872413043
-111.940011,33.421922,0.00044307291620337725
-110.950769,32.232071,0.0002916807451556907
-112.452285,34.615678,0.0004866689602992508
-111.657653,35.180095,0.000422442606897376
-112.113447,33.577907,0.0004607423433405884
-112.476509,34.5445,0.0004902658731541427
-112.026211,33.595117,0.0004576980782577888
-92.341835,34.726644,0.0010613389724650495
-92.290555,34.734751,0.0010651376034477044
-91.628115,35.778934,0.0011338128549159433
-94.178214,36.06153,0.0009559650164217918
-92.021263,34.242192,0.0010687918458053584
-90.680478,35.842779,0.0012106022093538718
-93.13233,35.295227,0.0010152198520323066
-91.812971,33.589788,0.0010476290270270761
-92.45931,35.078196,0.0010597168623926992
-92.444102,35.084574,0.001060915886384943
-91.729008,35.249605,0.0011166146720422829
-93.060313,34.127792,0.0009977188916751453
-92.442021,35.09972,0.0010613151884470142
-94.559088,36.191077,0.0009332074462508398
-93.052442,34.125045,0.0009981259330105487
-93.467924,35.477785,0.0009943511920907369
-92.28242,34.73666,0.0010657558375848232
-90.939876,36.126825,0.0011964073101129588
-93.235087,33.291195,0.0009530748548785104
-94.374073,35.385345,0.0009318638524728562
-117.88795,34.130865,0.0006613154860424053
-118.017342,33.904823,0.0006530622295449983
-122.416537,37.774768,0.0003820699812581214
-117.42587,33.928569,0.0006569321728204576
-118.12574,34.139275,0.0006592686286822529
-118.879467,34.225551,0.0006467230285062313
-120.65856,35.29889,0.0005512459584188117
-117.094398,32.897056,0.0005472383291378184
-119.104711,35.350005,0.0005919976891505181
-120.852511,37.52577,0.00041369376939956633
-117.322508,34.182987,0.0006628851548322055
-117.819019,34.054273,0.0006601310458036068
-121.846333,39.728003,0.00025172906374814545
-118.259316,33.86524,0.0006480482370657113
-119.748258,36.814477,0.00046227825000373754
-117.885349,33.883627,0.0006532490039055436
-122.058073,37.65707,0.00039396383568039695
-118.1123,33.782752,0.0006452882086958165
-118.168965,34.066927,0.0006572154021633154
