Longitude,Latitude
-86.568502,34.783368
-86.80917,33.50223
-86.17401,32.362609
-86.63842,34.722818
-86.295677,32.364317
-87.545766,33.2144
-86.96514,34.805625
-86.177351,32.369939
-85.492409,32.600201
-86.853636,33.515453
-87.023531,32.42443
-86.21641,32.384181
-86.285313,32.350939
-85.766644,33.822128
-87.316127,32.630526
-88.186077,32.59244
-86.908605,33.481306
-88.128934,30.793247
-86.865099,33.10625
-87.680999,34.80658
-86.661628,34.756628
-86.790932,33.464578
-88.18189,30.695081
-88.138199,30.694751
-87.585242,33.199228
-86.113675,33.434258
-85.950191,31.800128
-85.710315,32.431021
-149.826135,61.189554
-147.824751,64.857053
-134.636346,58.38427
-149.804242,61.191235
-112.092247,33.577738
-111.940011,33.421922
-110.950769,32.232071
-112.452285,34.615678
-111.657653,35.180095
-112.113447,33.577907
-112.476509,34.5445
-112.026211,33.595117
-92.341835,34.726644
-92.290555,34.734751
-91.628115,35.778934
-94.178214,36.06153
-92.021263,34.242192
-90.680478,35.842779
-93.13233,35.295227
-91.812971,33.589788
-92.45931,35.078196
-92.444102,35.084574
-91.729008,35.249605
-93.060313,34.127792
-92.442021,35.09972
-94.559088,36.191077
-93.052442,34.125045
-93.467924,35.477785
-92.28242,34.73666
-90.939876,36.126825
-93.235087,33.291195
-94.374073,35.385345
-117.88795,34.130865
-118.017342,33.904823
-122.416537,37.774768
-117.42587,33.928569
-118.12574,34.139275
-118.879467,34.225551
-120.65856,35.29889
-117.094398,32.897056
-119.104711,35.350005
-120.852511,37.52577
-117.322508,34.182987
-117.819019,34.054273
-121.846333,39.728003
-118.259316,33.86524
-119.748258,36.814477
-117.885349,33.883627
-122.058073,37.65707
-118.1123,33.782752
-118.168965,34.066927
-118.526817,34.23671
-121.42194,38.55745
-122.260401,37.871519
-121.751958,38.539895
-117.841248,33.648434
-118.443901,34.068892
-117.331098,33.97588
-117.237793,32.876598
-119.848031,34.415402
-122.067993,36.997258
-122.231551,38.069061
-117.851481,33.793678
-117.81063,33.6535
-116.903073,32.799999
-117.712394,34.103778
-117.706593,34.102323
